ID,Protein Name,Hits
sp|P01325|INS1_MOUSE,PE=1,2
sp|P01326|INS2_MOUSE,PE=1,2
sp|O09108|LSHB_MOUSE,OX=10090,0
sp|P41160|LEP_MOUSE,SV=1,0
tr|Q544U0|Q544U0_MOUSE,PE=2,0
sp|Q8CIT0|CRF_MOUSE,GN=Crh,0
sp|P01193|COLI_MOUSE,OX=10090,0
tr|Q9Z0L6|Q9Z0L6_MOUSE,OX=10090,0
sp|Q60994|ADIPO_MOUSE,GN=Adipoq,250
sp|P06879|PRL_MOUSE,PE=2,0
sp|P70160|CALC_MOUSE,GN=Calca,0
sp|Q9EQX0|GHRL_MOUSE,musculus,0
sp|P16043|SLIB_MOUSE,GN=Ghrh,0
sp|P47932|REL1_MOUSE,GN=Rln1,0
sp|P05017|IGF1_MOUSE,musculus,4
sp|P09535|IGF2_MOUSE,musculus,3
sp|P60041|SMS_MOUSE,GN=Sst,0
sp|P12968|IAPP_MOUSE,musculus,0
sp|P48756|GIP_MOUSE,musculus,0
sp|Q99P87|RETN_MOUSE,PE=1,0
tr|Q547R2|Q547R2_MOUSE,PE=2,0
sp|P56473|AGRP_MOUSE,OX=10090,0
sp|P22387|EDN1_MOUSE,GN=Edn1,0
sp|P22389|EDN2_MOUSE,GN=Edn2,2
sp|P04202|TGFB1_MOUSE,proprotein,7
sp|P27090|TGFB2_MOUSE,proprotein,7
sp|P06804|TNFA_MOUSE,OX=10090,1
sp|P55095|GLUC_MOUSE,GN=Gcg,0
sp|P09240|CCKN_MOUSE,GN=Cck,0
sp|P48757|GAST_MOUSE,PE=2,0
sp|P35454|NEU1_MOUSE,OX=10090,0
sp|P35455|NEU2_MOUSE,OS=Mus,0
sp|P06880|SOMA_MOUSE,GN=Gh1,0
sp|P22005|PENK_MOUSE,OX=10090,0
sp|P07321|EPO_MOUSE,GN=Epo,0
sp|P47212|GALA_MOUSE,OX=10090,0
sp|Q9EQ21|HEPC_MOUSE,PE=2,0
tr|B2RTN6|B2RTN6_MOUSE,musculus,0
tr|A0A0M6L0K7|A0A0M6L0K7_MOUSE,musculus,0
sp|Q04998|INHBA_MOUSE,OX=10090,4
sp|P86546|OSTCN_MOUSE,GN=Bglap,0
sp|P10601|PAHO_MOUSE,OS=Mus,0
sp|O70176|PACA_MOUSE,cyclase-activating,0
sp|P13562|GON1_MOUSE,OX=10090,0
tr|A2RTV8|A2RTV8_MOUSE,GN=Rln1,0
sp|Q8CHK2|REL3_MOUSE,PE=2,0
sp|P06281|RENI1_MOUSE,PE=1,0
sp|Q08535|SECR_MOUSE,PE=2,0
sp|P40226|TPO_MOUSE,GN=Thpo,0
tr|E9Q4F3|E9Q4F3_MOUSE,musculus,0
sp|Q62361|TRH_MOUSE,OS=Mus,0
sp|P32648|VIP_MOUSE,GN=Vip,0
sp|P33680|GUC2A_MOUSE,GN=Guca2a,0
sp|O09051|GUC2B_MOUSE,musculus,0
sp|P03953|CFAD_MOUSE,OX=10090,12
tr|H7BWY6|H7BWY6_MOUSE,musculus,0
sp|P11672|NGAL_MOUSE,lipocalin,0
tr|A0A0G2JGF4|A0A0G2JGF4_MOUSE,musculus,1
sp|Q8K4Z2|FNDC5_MOUSE,protein,1
sp|Q9JJN1|FGF21_MOUSE,musculus,1
sp|O35622|FGF15_MOUSE,musculus,3
