ID,Protein Name,Hits
sp|P56473|AGRP_MOUSE|21-81,Agouti-related protein OS=Mus musculus,0
sp|Q15848|ADIPO_HUMAN|19-244,Adiponectin OS=Homo sapiens OX=9606,250
sp|P05125|ANF_MOUSE|123-150,Natriuretic peptides A OS=Mus musculus,0
sp|P05125|ANF_MOUSE|25-54,Natriuretic peptides A OS=Mus musculus,0
sp|P05125|ANF_MOUSE|55-91,Natriuretic peptides A OS=Mus musculus,0
sp|P05125|ANF_MOUSE|92-102,Natriuretic peptides A OS=Mus musculus,0
sp|P05125|ANF_MOUSE|103-122,Natriuretic peptides A OS=Mus musculus,0
sp|P70160|CALC_MOUSE|85-116,Calcitonin OS=Mus musculus OX=10090,0
sp|P70160|CALC_MOUSE|121-136,Calcitonin OS=Mus musculus OX=10090,0
tr|B2RTN6|B2RTN6_MOUSE|25-130,Glycoprotein hormone beta 5 OS=Mus,0
sp|P09240|CCKN_MOUSE|21-115,Cholecystokinin OS=Mus musculus OX=10090,0
sp|P01027|CO3_MOUSE|25-1663,Complement C3 OS=Mus musculus OX=10090,0
sp|P01193|COLI_MOUSE|27-100,Pro-opiomelanocortin OS=Mus musculus,0
sp|P01193|COLI_MOUSE|77-87,Pro-opiomelanocortin OS=Mus musculus,0
sp|P01193|COLI_MOUSE|124-136,Pro-opiomelanocortin OS=Mus musculus,0
sp|P01193|COLI_MOUSE|142-162,Pro-opiomelanocortin OS=Mus musculus,0
sp|P01193|COLI_MOUSE|165-235,Pro-opiomelanocortin OS=Mus musculus,0
sp|P01193|COLI_MOUSE|165-202,Pro-opiomelanocortin OS=Mus musculus,0
sp|P01193|COLI_MOUSE|185-202,Pro-opiomelanocortin OS=Mus musculus,0
sp|P01193|COLI_MOUSE|205-235,Pro-opiomelanocortin OS=Mus musculus,0
sp|P01193|COLI_MOUSE|124-162,Pro-opiomelanocortin OS=Mus musculus,0
sp|P01193|COLI_MOUSE|103-121,Pro-opiomelanocortin OS=Mus musculus,0
sp|P56469|CORT_MOUSE|96-109,Cortistatin OS=Mus musculus OX=10090,0
tr|A0A0M6L0K7|A0A0M6L0K7_MOUSE|27-216,Growth hormone b1 OS=Mus,0
sp|Q8CIT0|CRF_MOUSE|145-185,Corticoliberin OS=Mus musculus OX=10090,0
sp|P07321|EPO_MOUSE|27-192,Erythropoietin OS=Mus musculus OX=10090,0
sp|P22389|EDN2_MOUSE|46-66,Endothelin-2 OS=Mus musculus OX=10090,0
sp|P22387|EDN1_MOUSE|53-73,Endothelin-1 OS=Mus musculus OX=10090,1
sp|P22387|EDN1_MOUSE|53-91,Endothelin-1 OS=Mus musculus OX=10090,2
sp|Q9JJN1|FGF21_MOUSE|29-210,Fibroblast growth factor 21 OS=Mus,1
sp|O35622|FGF15_MOUSE|26-218,Fibroblast growth factor 15 OS=Mus,3
sp|Q8K4Z2|FNDC5_MOUSE|29-209,Fibronectin type III domain-containing,1
sp|Q8K4Z2|FNDC5_MOUSE|29-140,Fibronectin type III domain-containing,2
sp|P48757|GAST_MOUSE|22-92,Gastrin OS=Mus musculus OX=10090 GN=Gast,0
sp|P48757|GAST_MOUSE|59-92,Gastrin OS=Mus musculus OX=10090 GN=Gast,0
sp|P48757|GAST_MOUSE|76-92,Gastrin OS=Mus musculus OX=10090 GN=Gast,0
sp|P47212|GALA_MOUSE|33-61,Galanin peptides OS=Mus musculus OX=10090,0
sp|P47212|GALA_MOUSE|65-124,Galanin peptides OS=Mus musculus,0
tr|A2RSS9|A2RSS9_MOUSE|24-117,Appetite-regulating hormone OS=Mus,0
sp|P48756|GIP_MOUSE|44-85,Gastric inhibitory polypeptide OS=Mus,0
sp|P55095|GLUC_MOUSE|21-89,Pro-glucagon OS=Mus musculus OX=10090,0
sp|P55095|GLUC_MOUSE|21-50,Pro-glucagon OS=Mus musculus OX=10090,0
sp|P55095|GLUC_MOUSE|53-89,Pro-glucagon OS=Mus musculus OX=10090,0
sp|P55095|GLUC_MOUSE|53-81,Pro-glucagon OS=Mus musculus OX=10090,0
sp|P55095|GLUC_MOUSE|98-128,Pro-glucagon OS=Mus musculus OX=10090,0
sp|P55095|GLUC_MOUSE|98-127,Pro-glucagon OS=Mus musculus OX=10090,0
sp|P55095|GLUC_MOUSE|146-178,Pro-glucagon OS=Mus musculus OX=10090,0
sp|P13562|GON1_MOUSE|22-90,Progonadoliberin-1 OS=Mus musculus,0
sp|P13562|GON1_MOUSE|35-90,Progonadoliberin-1 OS=Mus musculus,0
sp|O09108|LSHB_MOUSE|21-141,Lutropin subunit beta OS=Mus musculus,0
sp|P35455|NEU2_MOUSE|36-128,Vasopressin-neurophysin 2-copeptin,0
