ID,Protein Name,Hits
tr|A0A2R9BXJ7|A0A2R9BXJ7_PANPA|21-132,Agouti related neuropeptide,0
tr|A0A2R9CM19|A0A2R9CM19_PANPA|34-286,"Adiponectin, C1Q and collagen domain containing",1018
tr|A0A2R9BL40|A0A2R9BL40_PANPA|26-153,Natriuretic peptides A,0
tr|A0A2R9C976|A0A2R9C976_PANPA|26-141,Calcitonin,0
tr|A0A2R9A0T8|A0A2R9A0T8_PANPA|25-147,Glycoprotein hormones alpha chain,0
tr|A0A2R8ZA42|A0A2R8ZA42_PANPA|21-115,Cholecystokinin,0
tr|A0A2R9BFI7|A0A2R9BFI7_PANPA|23-1614,Complement C3,1
tr|A0A2R9BNJ4|A0A2R9BNJ4_PANPA|27-268,Pro-opiomelanocortin,0
9597_0:000087,"{""organism"":""Pan paniscus"",""genome_id"":""GCF_013052645.1"",""pub_prot_id"":""XP_008973873.2"",""pub_gene_id"":""CORT"",""uniprot"":""A0A2R9BUL4"",""description"":""Somatostatin domain-containing protein""}",0
tr|A0A2R8ZPS7|A0A2R8ZPS7_PANPA|155-194,Corticoliberin,0
9597_0:0042f6,"{""organism"":""Pan paniscus"",""genome_id"":""GCF_013052645.1"",""pub_prot_id"":""XP_034799265.1"",""pub_gene_id"":""CSH1"",""description"":""chorionic somatomammotropin hormone 1""}",0
tr|A0A2R9CD53|A0A2R9CD53_PANPA|28-193,Erythropoietin,0
tr|A0A2R9BUZ2|A0A2R9BUZ2_PANPA|48-69,Endothelin-2,2
tr|A0A2R9A948|A0A2R9A948_PANPA|52-73,Endothelin-1,2
tr|A0A2R9A948|A0A2R9A948_PANPA|18-212,Endothelin-1,5
9597_0:004b6c,"{""organism"":""Pan paniscus"",""genome_id"":""GCF_013052645.1"",""pub_prot_id"":""XP_034801054.1"",""pub_gene_id"":""FGF21"",""uniprot"":""A0A2R9AZE4"",""description"":""A0A2R9AZE4_PANPA""}",10
9597_0:002fc9,"{""organism"":""Pan paniscus"",""genome_id"":""GCF_013052645.1"",""pub_prot_id"":""XP_014202332.2"",""pub_gene_id"":""FGF19"",""description"":""fibroblast growth factor 19""}",5
tr|A0A2R8ZI95|A0A2R8ZI95_PANPA,Fibronectin type III domain containing 5,0
tr|A0A2R9AFI2|A0A2R9AFI2_PANPA|21-82,Gastrin,0
tr|A0A2R9AFI2|A0A2R9AFI2_PANPA|87-99,Gastrin,0
tr|A0A2R9AFI2|A0A2R9AFI2_PANPA|22-101,Gastrin,0
tr|A0A2R9ADP9|A0A2R9ADP9_PANPA|33-45,Galanin peptides,0
tr|A0A2R9ADP9|A0A2R9ADP9_PANPA|23-123,Galanin peptides,0
tr|A0A2R8ZSX1|A0A2R8ZSX1_PANPA|24-51,Appetite-regulating hormone,0
tr|A0A2R8ZSX1|A0A2R8ZSX1_PANPA|29-50,Appetite-regulating hormone,0
9597_0:0041ba,"{""organism"":""Pan paniscus"",""genome_id"":""GCF_013052645.1"",""pub_prot_id"":""XP_034797398.1"",""pub_gene_id"":""GIP"",""uniprot"":""A0A2R9A756"",""description"":""A0A2R9A756_PANPA""}",0
