ID,Protein Name,Hits
P01308,Insulin,3
P05019,Insulin-like growth factor I,4
P01344,Insulin-like growth factor II,3
P01275,Glucagon,0
O00253,Agouti-related protein,0
P01189,Pro-opiomelanocortin,0
P41159,Leptin,0
P01375,Tumor necrosis factor,2
P06307,Cholecystokinin,0
P01350,Gastrin,0
P01160,Natriuretic peptides A,0
P01178,Oxytocin-neurophysin 1,0
P01185,Vasopressin-neurophysin 2-copeptin,0
P01241,Somatotropin,0
P01258,Calcitonin,0
P01137,Transforming growth factor beta-1,7
P61812,Transforming growth factor beta-2,7
P10997,Islet amyloid polypeptide,0
Q15848,Adiponectin,250
P06850,Corticoliberin,0
O00230,Cortistatin,0
P01210,Proenkephalin-A,0
P05305,Endothelin-1,0
P20800,Endothelin-2,2
P01588,Erythropoietin,0
P22466,Galanin peptides,0
Q9UBU3,Appetite-regulating hormone,0
P01286,Somatoliberin,0
P81172,Hepcidin,0
P0DN86,Choriogonadotropin subunit beta 3,0
P0DML2,Chorionic somatomammotropin hormone 1,0
P0DML3,Chorionic somatomammotropin hormone 2,0
P08476,Inhibin beta A chain,5
P01229,Lutropin subunit beta,0
O43612,Orexin,0
P02818,Osteocalcin,0
P01298,Pancreatic prohormone,0
P01270,Parathyroid hormone,0
P18509,Pituitary adenylate cyclase-activating,0
P01236,Prolactin,0
P01148,Progonadoliberin-1,0
P04090,Prorelaxin H2,0
Q8WXF3,Relaxin-3,0
P04808,Prorelaxin H1,0
P00797,Renin,0
P09683,Secretin,0
P61278,Somatostatin,0
P40225,Thrombopoietin,0
P01222,Thyrotropin subunit beta,0
P20396,Pro-thyrotropin-releasing hormone,0
P01282,VIP peptides,0
Q02747,Guanylin,0
Q16661,Guanylate cyclase activator 2B,0
P00746,Complement factor D,12
Q9HD89,Resistin,1
P02753,Retinol-binding protein 4,0
P80188,Neutrophil gelatinase-associated lipocalin,0
P05231,Interleukin-6,2
Q14116,Interleukin-18,0
P09681,Gastric inhibitory polypeptide,0
Q8NAU1,Fibronectin type III domain-containing protein,1
Q9NSA1,Fibroblast growth factor 21,4
O95750,Fibroblast growth factor 19,2
